English,Bangla,Marma,label
Can I join you?,আমি আপনাকে যোগ দিতে পারি?,ঙা কোগো থি ন্হেং হোলঃ?,pos
What can I say?,আমি কি বলতে পারি?,ঙা প্র ন্হেং হোলঃ?,ntr
Can I eat this?,আমি কি এটা খেতে পারি?,ঙা ইচা চা ন্হেং হোলঃ?,ntr
My father is tall.,আমার বাবা লম্বা,ঙো বাবা আ্হ্রিঠং,ntr
My sister has a job.,আমার বোনের চাকরি আছে,ঙো মিমি মা সাগ্রি হিঃরে,ntr
My wife is a doctor.,আমার স্ত্রী একজন ডাক্তার,ঙা ম্যা ছিক্রিসামা/ডাওঃতমা,ntr
"No, I will eat later.","না, আমি পরে খাব","ইন্হি, ঙা নঃউকা চাহো",neg
Please come in.,অনুগ্রহ করে ভিতরে আসুন,আঠিদো ওয়ংলেমে,pos
Please do that again.,দয়া করে সেটা আবার করুন,য়াচা ত্খ্যাঃ অরঃ ত্ব্রেং প্যাংলঃ মে,pos
Please give it to me.,দয়া করে আমাকে দিন,য়াচা ত্খ্যাঃ ঙাগো পি,pos
He praised him.,সে তাকে তারিফ করেছিল,য়াসু ঠুসুগো অ্কং প্রবঃয়ে,pos
He avoided me.,সে আমাকে এড়িয়ে চলে,য়াসুু ঙাগো ম্রাং প্যাংব লারে,neg
He came last.,সে শেষ এসেছিল,য়াসু লেলিবঃ,ntr
He goes to school.,সে স্কুলে যায়,য়াসু চাক্যংদো লারে,ntr
It's a good decision.,এটা একটা ভাল সিদ্ধান্ত,ইচা ত্খোঃ আ্কং আ্ত্যগ্,pos
That's my book.,যে আমার বই,য়াচা ঙা চা ঊঃ,ntr
That's my son.,যে আমার ছেলে,য়াচা ঙা সাঃ,ntr
The dog is dead,কুকুরটি মারা গেছে,য়া খুই সিই ফাব্যা,neg
They got married,তারা বিয়ে করেছে,য়াস্রো ম্জেকেব্যা,ntr
They have some books,তাদের কিছু বই আছে,য়াস্রোু মা চাঊঃ ল্য়ংক্খো হিরি,ntr
They stopped talking,তাদের কথা বলা বন্ধ,য়াসু মা চ্গা তুংব্যা,neg
This is my friend,এই আমার বন্ধু,ইচা ঙা আফাসা,pos
This bird can't fly,এই পাখি উড়তে পারে না,ই ন্হাক্ ম্প্যেংন্হেং,ntr
This decision is final,এই সিদ্ধান্ত চূড়ান্ত,ইচা আটুং চা্গা,ntr
This is my book,এটা আমার বই,ইচা ঙা চা ঊঃ,ntr
This is my brother,এই আমার ভাই,ইচা ঙা আকোসে/ন্ঙ্যিং,ntr
This is my daughter,এই আমার মেয়ে,ইচা ঙা স্মিং,ntr
This is not a joke,এটি তামাশা না,ইচা স্যইংচা ম্হক্,neg
This river is beautiful,এই নদী সুন্দর,ই খ্যং হ্লারে,pos
This story is true,এই গল্প সত্য,ইচা আ্কং ওয়েঠু,pos
Will it rain today?,আজ কি বৃষ্টি হবে?,গ্নি মোঃ ওয়রাহলঃ,ntr
Will you go for a walk?,তুমি কি বেড়াতে যাবে?,নাং লিজং লাহো ল,ntr
Will he come?,সে কি আসবে?,য়া সু লেহুঁ ল,ntr
Will you kill me?,তুমি কি আমাকে মেরে ফেলবে?,য়াসু ঙাগো সেব্ল হব্যা ল?,neg
Will you love me?,তুমি কি আমাকে ভালোবাসবে?,নাং ঙা গো ক্র হো ল?,pos
Will you come here?,তুমি কি এখানে আসবে,নাং ইদু লেহো ল?,ntr
You are so beautiful,আপনি খুব সুন্দর,কো কগং হ্লাবারে,pos
You are so brave,আপনি খুব সাহসী,নাং ত্ফি ব্যাং ম্ক্রক্,pos
Do you love me or not?,তুমি আমাকে ভালোবাসো কি না,নাং ঙা গো ক্রোতি ল ম্ক্র ল,pos
You made me happy,তুমি আমাকে খুশি করেছো,নাং ঙা গো অপ্য পিরে,pos
You can go,তুমি যেতে পার,নাং লা ন্হেং মি ব্যা,ntr
You should sleep,তোমার তো ঘুমানো উচিত,নাং গা ওউই রাহো টেং রে ব্যা,ntr
I'm not bothering you,আমি তোমাকে বিরক্ত করছি না,ঙা নাক্ কো ম্জালে,pos
Whose idea is this?,এটা কার ধারণা?,ইচা আসু ত্য়ওচা লে,ntr
Thanks for your help,আপনার সাহায্যের জন্য ধন্যবাদ,কোউরে কিজু কোগো কিজুতাংবারে,pos
Thank you for coming,আসার জন্য আপনাকে ধন্যবাদ,লেটিঃ কিজু কোগো কিজুতাংবারে,pos
How are you?,তোমার কী অবস্থা,নাং ম্জংহীরে লে,ntr
How is everyone at your house?,তোমার বাসার সবাই কেমন আছে,নাং রো ইংসারো ম্জং হিরিলে ,ntr
It's nice to see you,তোমাকে দেখে ভাল লাগলো,নাক্ কো ম্রাং ব প্যহারে,pos
I don't like it,আমি এটা পছন্দ করি না,ইচা ঙা মা্সায়া,neg
I have no idea,আমার কোন ধারণা নাই,ঙা ত্খোবাং মি্সি,neg
Thank you very much,তোমাকে অনেক ধন্যবাদ,নাক্ কো আ্মা কিজুটাং রে,pos
See you next week,পরের সপ্তাহে দেখা হবে,লেমি খালেয় মা আ্তুই ক্যামে,ntr
See you next year,সামনের বছর দেখা হবে,লেমে ন্হক্ মা আ্তুই ক্যামে,ntr
See you soon,শীঘ্রই আবার দেখা হবে,আয়ং প্রেংব আতুই ক্যামে,ntr
See you tomorrow,আগামীকাল দেখা হবে,ন্হাক্ ফ্রেং আতুই ক্যামে,ntr
I'm crazy about you,আমি তোমার সম্পর্কে পাগল,ঙা নাাক্ মা রুউ রে,neg
I'm crazy with you.,আমি তোমার সাথে পাগল,ঙা নাক্ লা ব রুউরে,neg
It's nice to meet you,তোমার সাথে দেখা করে ভালো লাগলো,নাং লা আতুই খেংব কংহারে,pos
It's so cheap,এটা খুব সস্তা,ইচা এর্মা আঁটেং,ntr
Just a moment,শুধু একটা মুহূর্ত,ত্ছংস্যে ব্যা/ ত্খ্যাঃসে,ntr
You're so nice,আপনি খুব চমৎকার,কো আমা আ্স্যাক্যারে,pos
You're so smart,আপনি খুব স্মার্ট,কো আ্মা পইংঞাস্যাং ,pos
I really miss you,আমি তোমাকে সত্যি মিস করছি,ঙা নাক্ কো অ্কংকং অউমিংরে,neg
Will you help me?,আপনি কি আমাকে সাহায্য করবেন?,কো ঙাগো ত্খ্যাক্ কু ন্হেং হো ল?,pos
Will you stay home?,তুমি কি বাড়িতে থাকবে,নাং ইংমা নিং হো ল?,ntr
Do you need anything?,তোমার কোন কিছু দরকার?,নাক্ মা ত্খুক্ ম্সা লু হো ল?,ntr
Do you need this book?,তোমার কি এই বইটা দরকার?,নাক্ মা ই চাক্উঃ লু হো ল?,ntr
Are you feeling better?,আপনি ভাল অনুভব করছেন?,কো মা কং রে তুইরে ল?,pos
Come and see me now,এসো এবং এখন আমাকে দেখতে,ঙা গো আ্গু ক্রিজং ল্লে,ntr
Come with your family,আপনার পরিবারের সাথে আসুন,কো ইংসা লা ল্লে,ntr
I'm very busy this week,আমি এই সপ্তাহে খুব ব্যস্ত,ঙামা ই খাঃলে মা আ্মা আ্লু হীরে,ntr
Have a lot of money,অনেক টাকা আছে,এর্মা টেঙা হীরে,ntr
They're good people,তারা ভালো মানুষ,য়াস্রু আ্মা আঁকং লু,pos
We need some money,আমাদের কিছু টাকা দরকার,ঙ্গমা টেঙা তে্কে লুরে,ntr
What are you doing today?,তুমি আজ কি করছ?,নাং গি্নি আ্চ্যা প্যাংরেলে ,ntr
What can I do for you?,আমি আপনার জন্য কি করতে পারি?,ঙা কো কিজু আ্চা প্যাংন্হেং হুলে,ntr
What was the word for?,শব্দটা কিসের ছিল?,য়াচা আ্চা আ্সেং লে?,ntr
When can we eat?,আমরা কখন খেতে পারি?,ঙো জা্খা চা হুলে,ntr
When do you study?,আপনি কখন পড়াশোনা করেন?,কো জ্খা চা ফেটে লে,ntr
When did it end?,এটা কখন শেষ হয়েছিল?,ইচা জা্খা টুংলি রে লে,ntr
Tell me something about your family,আপনার পরিবার সম্পর্কে কিছু বলেন,কো রো ইংসা গো ইউব  তখুমসা প্র,ntr
Do you understand?,তুমি কি বুঝতে পেরেছো?,নালেরি ল নাং?,ntr
Do you love me?,তুমি কি আমাকে ভালোবাসো?,নাং ঙা গো ক্রতে ল?,pos
Don't talk about work,কাজের কথা বলবেন না,অ্লু চ্গাগো ম্প্রগ্যে,ntr
How can I help you?,আপনাকে কিভাবে সাহায্য করতে পারি?,কোগো ম্জং প্য়াংব কোওন্হেং হোলে?,pos
How deep is the lake?,লেকের গভীরতা কত?,য়াক্ ওয়েই ম্নহ আ্নাক্ লে?,ntr
I'm proud of my son,আমি আমার ছেলের জন্য গর্বিত,ঙা ঙা সা কিজু ম্যান্হা ঠংব নিং রে,pos
I'm sorry to bother you,আমি আপনাকে বিরক্ত করার জন্য দুঃখিত,ঙা কোগো জালেরে কিজু খোওং হ্রুওয়ে,neg
Can I open the door?,আমি কি দরজা খুলতে পারি?,ঙা তৈংখা ল্হন্হেং হ ল?,ntr
Thank you for everything,সবকিছুর জন্য ধন্যবাদ,আ্কুংজুং কিজু কিজুতাংরে,pos
Do you have any ideas about this?,আপনার কোন ধারণা আছে এই ব্যাপারে?,কো য়াছাগো য়ুব ত্খুমসা সিক্ড়ি ল,ntr
Where are you from?,তুমি কোথা থেকে আসছো,নাং আ্চগা লেটে লে?,ntr
Let me think about it,আমাকে এটা সম্পর্কে চিন্তা করতে দিন,ঙাগো ইচাগো য়ুব ছাংখ্রাহো পি,ntr
Will you stop talking?,তুমি কি কথা বলা বন্ধ করবে?,নাং ইংচা প্রহো তেংহো ল,neg
Do you want to go?,আপনি কি যেতে চান?,কো লা খ্যাংরে ল?,pos
Will you teach me?,তুমি কি আমাকে শেখাবে?,নাং ঙা গো সাং হো ল?,ntr
Close the door,দরজা বন্ধ করুন,তৈংখা ত্খ্যাক পুঁই ল মে,ntr
It was a very big room,এটি একটি খুব বড় রুম ছিল,য়াচা এর্মা ত আ্সেং হিলিরে ,ntr
He agreed with me,তিনি আমার সাথে একমত,য়াসু ঙালা চ্গা তখৈংব্যা,pos
We started walking,আমরা হাঁটতে শুরু করলাম,ঙো সোওয়ারেব্যা,ntr
We can change,আমরা পরিবর্তন করতে পারি,ঙো ল্হি ন্হেং রে,ntr
We cook every day,আমরা প্রতিদিন রান্না করি,ঙো নিংদৈং খ্যাক্ তে,ntr
Where does it hurt?,এটা কোথায় ব্যাথা করে?,জা আড়া মা নাড়ে লে?,neg
When was he born?,সে কখন জন্মেছিল?,য়াসু জা্খা মুইংরে লে?,ntr
I can't see anything,আমি কিছুই দেখতে পাচ্ছি না,ঙা ত্খু্বাং ম্রাং ,ntr
I don't agree with you,আমি আপনার সাথে একমত নই,ঙা কো লা চ্গা ত্খৈং ম্হক্,neg
How do you get to school?,তুমি কিভাবে স্কুলে আস?,নাং ম্জং প্যাংব চাক্যং দো লেটে লে? ,ntr
"If I had money, I could buy it",আমার কাছে টাকা থাকলে আমি কিনতে পারতাম,ঙা মা টেঙা হিগ্যি ঙা লিসউ ওউইন্হেং লি হো,ntr
"If he comes, tell him to wait","যদি তিনি আসেন, তাকে অপেক্ষা করতে বলুন",য়াসু লেহো ছুগ্যে য়াসু গো চং ছু ল,ntr
"If it rains, we will get wet","যদি বৃষ্টি হয়, আমরা ভিজে যাব","মু রু্ওয়ারে ছুগ্যে, ঙো মু চু্ওয়েকেহো ব্যা",ntr
My hair has grown very long,আমার চুল অনেক লম্বা হয়েছে,ঙা মা ছেংবাং এর্মা হ্রীব্যা,ntr
My mother is always at home,আমার মা সবসময় বাড়িতে থাকে,ঙো দদ/অ্ম্মি/অ্দঃ খ্যাংখাফ্র ইংমা নিংড়ে,ntr
There are many fish in this lake,এই হ্রদে অনেক মাছ আছে,ই ওয়েইং মা এর্মা ঙাঃ হিরিরে,ntr
There are many problems to solve,সমাধান করার জন্য অনেক সমস্যা আছে,আওকং প্যাংহো কিজু এর্মা সমস্যা হীরে,neg
There is nothing wrong with him,তার সাথে কোন ভুল নেই,য়াসুলা ব ত্খুবাং আম্হা মিহি,pos
There was a sudden change in the weather,আবহাওয়ার হঠাৎ পরিবর্তন ছিল,মো লি প্পপাং পয়াংব হ্লিরি,ntr
No one was in the garden,বাগানে কেউ ছিল না,য়ইং মা ত্যক্পাং মিহিলিই,neg
There was no one there,সেখানে কেউ ছিল না,য়াদে ত্যক্পাং মিহিলি,neg
There have been five murders this month,এই মাসে পাঁচটি খুনের ঘটনা ঘটেছে,ইলামা ঙাখ্ক এসেএওয়ব্যে ফ্রকেরে,neg
They praise each other,তারা একে অপরের প্রশংসা করে,ইয়াস্রু ত্যক্কো  ত্যক আকং প্রগেতে,pos
They agree to work together,তারা একসঙ্গে কাজ করতে রাজি হয়েছে,ইয়াসরু ত্লামা অ্যালুলুকেহু মনে গেড়ে,pos
They are both good teachers,তারা দুজনেই ভালো শিক্ষক,ইয়াস্রু নহইয়ক চুং অকং চাখ্যা ছ্ড়া,pos
We want something new,আমরা নতুন কিছু চাই,ঙো অস টখুমসা লুরে,pos
We should be very careful,আমাদের খুব সতর্ক হওয়া উচিত,ঙো আমা স্দি ফ্রোরাহু,pos
When can we meet next time?,পরের বার কখন দেখা করতে পারি?,নৌকা যখা আটুই খেং নহেং হোলে?,ntr
When will you finish your work?,আপনি কখন কাজ শেষ করেছেন?,কোমা জ্খা আলু তুংরে লে?,ntr
When will you cut your wheat?,তুমি কখন তোমার গম কাটবে?,নং জ্যখা গং রুইহুলে?,neg
Where is the beautiful girl?,সুন্দরী মেয়েটি কোথায়?,আহ্লামা জামালেই?,pos
Where is my lungi?,আমার লুঙ্গি কোথায়?,ঙা্ক লঙ্গি জামালে?,ntr
What is your destination?,আপনার গন্তব্য কি?,কো আদো লারে লে?,ntr
You don't understand me,তুমি আমাকে বোঝো না,নং ঙাগো ম্নালে,ntr
How can I help you?,আমি কীভাবে তোমাকে সাহায্য করতে পারি?,ঙা নাকো মজং প্যাংবো কুনহেং হোলে?,pos
I don't understand,আমি বুঝতে পারছি না।,ঙা ম্নালে,ntr
Please give me the bill,দয়া করে বিল দিন।,বিল ট্খ্যা পিন্হেং হুলো?,pos
How much will it cost?,এটা কত খরচ হবে?,ইচা ম্নহ খ্র ফ্রহুলে?,ntr
Excuse my mistake,আমার ভুল মাফ করবেন।,ঙা ম্হারে খোয়ং হ্রুওয়ে,neg
Have a nice day!,একটি ভালো দিন কাটুক!,ত্রা্ক আহ্লাপা নিং বে চি,pos
It was nice to meet you,তোমার সাথে দেখা হয়ে ভালো লাগলো।,না্ক লে আতুই ক্যাব কং হারে ,pos
I am lost,আমি হারিয়ে গিয়েছি।,ঙা প্তগক ফাব্যা ,neg
I don't speak very well.,আমি খুব ভাল কথা বলি না,ঙা আকোং চ্গা মপ্র,neg
Are we ready to go now?,আমরা কি এখন যেতে প্রস্তুত,ঙো আগো লা ন্হেং হো ব্যালঃ,pos
Do you want to come?,তুমি কি আসতে চাও?,নাং লেখ্যাংরে ল?,pos
Have you finished work?,তুমি কি কাজ শেষ করেছ?,নাং মা অলু টুংগব্যায়াং?,ntr
Is the job still available?,চাকরি কি এখনও পাওয়া যায়?,সাগ্রী আগু লে সৌ রারে ল?,ntr
Can I ask you a question?,আমি কি তোমাকে একটা প্রশ্ন করতে পারি?,ঙা নাগকো টখও মিং ন্হেং হো ল?,ntr
My father is in his room.,আমার বাবা তার রুমে আছেন,ঙো অফা/ আফা/ বাবা নেংমা হিরে,ntr
Please speak more slowly.,অনুগ্রহ করে আরো ধীরে কথা বলুন,এসেই চ্গা প্র,pos
Please go to school.,অনুগ্রহ করে স্কুলে যান,চা ক্যাং দু লালি,pos
Please give me your hand.,দয়া করে আমাকে আপনার হাত দিন,কো আলাউগ তখ্যাগ পি,pos
The house is very small.,বাড়িটা খুব ছোট,ইং এরমা অফওয়াশে,ntr
They are both in the room.,তারা দুজনেই রুমে আছে,ইয়াশ্রু ন্হয়চঙং ত মা হিরে,ntr
Where do you have pain?,তোমার কোথায় ব্যথা আছে?,নাগ মা আডে নারেলে,neg
Can you read this book?,আপনি এই বই পড়তে পারেন,কো ই চা্উ ফেন্হেং মি,ntr
You are a good teacher.,তুমি একজন ভালো শিক্ষক,নাং তউ আকং ছ্রাসি,pos
Whose decision was final?,কার সিদ্ধান্ত চূড়ান্ত ছিল?,আসু চ্গালা?,ntr
Thanks for the information.,তথ্যের জন্য ধন্যবাদ,স্ডাং কিজু কিজুটাংরে,pos
Thanks for the compliment.,প্রশংসার জন্য ধন্যবাদ,ম্হ্রচা কিজু কিজুটাংরে,pos
Will you come tomorrow?,তুমি কি আগামীকাল আসবে?,নাং ন্হাফ্রেং লেহো য়াং,ntr
Will you dance with me?,তুমি কি আমার সাথে নাচবে?,নাং ঙালা কাহোল?,ntr
Why are you so tired today?,তুমি আজ এত ক্লান্ত কেন?,নাং গ্নি আচাস্যা ন্গ্যবলে?,neg
Why were you late this morning?,তুমি আজ সকালে দেরি করলে কেন?,নাং গ্নি খরুইকা ক্রাব আস্যা লেটেলে?,ntr
Why didn't you come in?,তুমি ভিতরে আসো না কেন?,নাং আথিদো আস্যা ম্ওয়ংলে?,ntr
Why did you leave?,তুমি কেন ছেড়ে দিলে,নাং আস্যা ফ্রুল টিলে?,neg
Why were you so angry?,তুমি এত রেগে গেলে কেন?,নাং আস্যা মেং তাউরে লে?,neg
Why are you late?,তোমার দেরী হল কেন?,নাং আস্যা ক্রাফালে?,ntr
Why are you drying your hair?,তুমি চুল শুকাচ্ছ কেন?,নাং ছেংবাং আস্যা ল্হেংরে লে?,ntr
Which team will win the game?,খেলা কোন দল জিতবে?,খ্যলা আসু অংহো?,pos
Which is your favorite team?,আপনার প্রিয় দল কোনটি?,নাগ সায়াচা আসু ব্রা্গলে?,pos
Which is the shortest route?,সবচেয়ে কাছের পথ কোনটি?,আপা লেং যাচা লে?,ntr
Which is more expensive?,কোনটি বেশি ব্যয়বহুল?,যাচা আম্যা খা্গটেলে,ntr
Where do you want to go?,আপনি কোথায় যেতে চান?,কো আদো লাখ্যাং রে লে?,pos
Did he come by bus or train?,সে কি বাসে এসেছে নাকি ট্রেনে?,ইয়াউসু বাস মা ল ট্রন মা ল?,ntr
Did he tell you what to do?,সে কি তোমাকে বলেছে কি করতে হবে?,ই্য়াগসু প্ররিল না্গকো আচা প্যাংরা হোলে,ntr
Did you do it yourself?,আপনি কি নিজের থেকে এটা করেছেন?,কো ইচা কোমাকো প্যাং চা য়াং?,ntr
Did you do your homework?,আপনি কি আপনার বাড়ির কাজ করেছেন?,কো কোরো ইং আলু লুটেয়াং,ntr
Did you understand me?,তুমি কি আমার কথা বুঝতে পেরেছ?,নাং ঙা চাগা নালেরেল?,ntr
Did you like the movie?,তুমি কি সিনেমাটি পছন্দ করেছ?,নাং য়া বওয়ে আহ্লা ম্রাং ল টি ল?,pos
Do you live here?,তুমি কি এখানে থাকো?,নাং ইংদেমা নিংরে য়াং?,ntr
Did you make it yourself?,তুমি কি এটা নিজে বানিয়েছ?,নাং ইচা কোমাকো লোচা য়াং ,ntr
Can you feel me?,তুমি কি আমাকে অনুভব করছো?,নাং ঙাগো তুইরে য়াং?,ntr
Did you see anyone there?,আপনি সেখানে কাউকে দেখেছেন?,কো য়াদেমা তয়্গম্সুগো ম্রাংতে ল?,ntr
Did you talk at all?,আপনি কি আদৌ কথা বলেছেন,কো চ্গা ম্প্র সি য়াং?,ntr
Did you take a shower?,তুমি কি গোসল করেছ?,নাং রি খ্যুব্যা য়াং?,ntr
Have a good time.,একটি ভাল সময় আছে,ট্খু্ক আকং আখ্যিং হিরে,pos
Have a nice day.,আপনার দিনটি শুভ হোক,কো রা্ক আকং ফ্রলি,pos
Have a nice time.,একটি সুন্দর সময় আছে,ট্খু্ক আহ্লা আখ্যিং হিরে,pos
Have a nice trip.,আপনার যাত্রা শুভ হোক,কো রা্ক আকং ফ্রলি ,pos
Have fun this summer!,এই গ্রীষ্মে মজা করুন!,ই পুখ্যিংমা প্য হো।,pos
Have you ever seen a whale?,আপনি কি কখনও একটি তিমি দেখেছেন?,কো তিমি ম্রাং ব্যা ল?,ntr
Have you finished dressing?,তুমি কি ড্রেসিং শেষ করেছ?,নাং অওয়ে ওয়েব্যল,ntr
His advice didn't help.,তার পরামর্শ সাহায্য করেনি,য়াসু প্রচা আলু ম্লুলি,neg
His brother is patient.,তার ভাই ধৈর্যশীল,য়াসু আকোসি আ্মা সিখেং ন্হেং রে,ntr
His dream came true.,তার স্বপ্ন সত্যি হয়েছে,য়াসু ইংমাউ আকং ফ্ররে,pos
His family is very big.,তার পরিবার অনেক বড়,য়াস্রো ইংসা এরমা আগ্রি,ntr
His father looks healthy.,তার বাবা সুস্থ দেখাচ্ছে,য়াসু আ্ফা ররেখে ম্রাং রে,pos
His horse jumped over the fence.,তার ঘোড়া বেড়ার উপর লাফিয়ে উঠল,য়াসু ম্রাং য়াসু ছুই আথাউমা খুংব তাউরে,ntr
His house is very tall.,তার বাড়ি অনেক লম্বা,য়াসু ইং এরমা আহ্রি,ntr
His joy is evident on his face.,তার আনন্দ তার মুখে ফুটে উঠেছে,য়াসু প্যচা য়াসু ম্যাকন্হামা ম্রাংরা রে ব্যা।,pos
His mother was strict.,তার মা কঠোর ছিল,য়াসু অ্মি কক্রউমন্হেং,ntr
His opinion was not accepted.,তার মতামত গ্রহণ করা হয়নি,য়াসু চ্গা ম্নাথংলি,neg
His proposal was accepted in the meeting.,সভায় তার প্রস্তাব গৃহীত হয়,মিটিং মা য়াসু চ্গা ফ্ররে,pos
His room is twice as big as mine.,তার রুম আমার চেয়ে দ্বিগুণ বড়,য়াসু ত ঙাচা থা ন্হপ্রেং সেংরে,ntr
His shoes are red.,তার জুতা লাল,য়াসু ফ্নেং র্রে,ntr
