English,Bangla,Marma
I can do this.,আমি এই কাজ করতে পারি, ঙা ই অ্লুঃ লু ন্হেংরে
I can run fast.,আমি দ্রুত দৌড়াতে পারি,ঙা অ্মঃ ব্রি ন্হেং রে
I can't believe it.,আমি এটা বিশ্বাস করতে পারছি না,ঙা ইচা ম্ক্যুং ন্হেং 
It's a long story.,এটি একটি দীর্ঘ গল্প,ইচা ত্খু অ্হ্রিথং  ওয়েথু
It looks like a bird.,এটা একটি পাখির মত দেখায়,ইচা ন্হাক্ ন্ঞং ম্রাংরারে
It really takes time.,এটা সত্যিই সময় লাগে,ইচা অ্কংকং আখ্যিং লুরেয়
It was really cheap.,এটা সত্যিই সস্তা ছিল,ইচা অ্কংকং এ্তেং হিলিরে 
It was so noisy.,এটা তাই কোলাহলপূর্ণ ছিল,ইচা য়জং কিজু ক্যক্যছাব হি্লিরে
It was very difficult.,এটা খুব কঠিন ছিল,ইচা আমা খাঃখ্যে লিরে
It wasn't expensive.,এটা ব্যয়বহুল ছিল না,ইচা আতেং মি্হিলি
It wasn't necessary.,এটা প্রয়োজন ছিল না,ইচা আ্লো ম্হিলি
Let me check.,যাচাই করতে দাও,ক্রিহো পি
Let me see.,আমাকে দেখতে দাও,ঙা গো ক্রিহো পি
Can I join you?,আমি আপনাকে যোগ দিতে পারি?,ঙা কোগো থি ন্হেং হোলঃ?
What can I say?,আমি কি বলতে পারি?,ঙা প্র ন্হেং হোলঃ?
Can I eat this?,আমি কি এটা খেতে পারি?,ঙা ইচা চা ন্হেং হোলঃ?
My father is tall.,আমার বাবা লম্বা,ঙো বাবা আ্হ্রিঠং
My sister has a job.,আমার বোনের চাকরি আছে,ঙো মিমি মা সাগ্রি হিঃরে
My wife is a doctor.,আমার স্ত্রী একজন ডাক্তার,ঙা ম্যা ছিক্রিসামা/ডাওঃতমা
"No, I will eat later.","না, আমি পরে খাব","ইন্হি, ঙা নঃউকা চাহো"
Please come in.,অনুগ্রহ করে ভিতরে আসুন,আঠিদো ওয়ংলেমে
Please do that again.,দয়া করে সেটা আবার করুন,য়াচা ত্খ্যাঃ অরঃ ত্ব্রেং প্যাংলঃ মে
Please give it to me.,দয়া করে আমাকে দিন,য়াচা ত্খ্যাঃ ঙাগো পি
He praised him.,সে তাকে তারিফ করেছিল,য়াসু ঠুসুগো অ্কং প্রবঃয়ে
He avoided me.,সে আমাকে এড়িয়ে চলে,য়াসুু ঙাগো ম্রাং প্যাংব লারে
He came last.,সে শেষ এসেছিল,য়াসু লেলিবঃ
He goes to school.,সে স্কুলে যায়,য়াসু চাক্যংদো লারে
It's a good decision.,এটা একটা ভাল সিদ্ধান্ত,ইচা ত্খোঃ আ্কং আ্ত্যগ্
That's my book.,যে আমার বই,য়াচা ঙা চা ঊঃ
That's my son.,যে আমার ছেলে,য়াচা ঙা সাঃ
The dog is dead,কুকুরটি মারা গেছে,য়া খুই সিই ফাব্যা
They got married,তারা বিয়ে করেছে,য়াস্রো ম্জেকেব্যা
They have some books,তাদের কিছু বই আছে,য়াস্রোু মা চাঊঃ ল্য়ংক্খো হিরি
They stopped talking,তাদের কথা বলা বন্ধ,য়াসু মা চ্গা তুংব্যা
This is my friend,এই আমার বন্ধু,ইচা ঙা আফাসা
This bird can't fly,এই পাখি উড়তে পারে না,ই ন্হাক্ ম্প্যেংন্হেং
This decision is final,এই সিদ্ধান্ত চূড়ান্ত,ইচা আটুং চা্গা
This is my book,এটা আমার বই,ইচা ঙা চা ঊঃ
This is my brother,এই আমার ভাই,ইচা ঙা আকোসে/ন্ঙ্যিং
This is my daughter,এই আমার মেয়ে,ইচা ঙা স্মিং
This is not a joke,এটি তামাশা না,ইচা স্যইংচা ম্হক্
This river is beautiful,এই নদী সুন্দর,ই খ্যং হ্লারে
This story is true,এই গল্প সত্য,ইচা আ্কং ওয়েঠু
Will it rain today?,আজ কি বৃষ্টি হবে?,গ্নি মোঃ ওয়রাহলঃ
Will you go for a walk?,তুমি কি বেড়াতে যাবে?,নাং লিজং লাহো ল
Will he come?,সে কি আসবে?,য়া সু লেহুঁ ল
Will you kill me?,তুমি কি আমাকে মেরে ফেলবে?,য়াসু ঙাগো সেব্ল হব্যা ল?
Will you love me?,তুমি কি আমাকে ভালোবাসবে?,নাং ঙা গো ক্র হো ল?
Will you come here?,তুমি কি এখানে আসবে,নাং ইদু লেহো ল?
You are so beautiful,আপনি খুব সুন্দর,কো কগং হ্লাবারে
You are so brave,আপনি খুব সাহসী,নাং ত্ফি ব্যাং ম্ক্রক্
Do you love me or not?,তুমি আমাকে ভালোবাসো কি না,নাং ঙা গো ক্রোতি ল ম্ক্র ল
You made me happy,তুমি আমাকে খুশি করেছো,নাং ঙা গো অপ্য পিরে
You can go,তুমি যেতে পার,নাং লা ন্হেং মি ব্যা
You should sleep,তোমার তো ঘুমানো উচিত,নাং গা ওউই রাহো টেং রে ব্যা
I'm not bothering you,আমি তোমাকে বিরক্ত করছি না,ঙা নাক্ কো ম্জালে
Whose idea is this?,এটা কার ধারণা?,ইচা আসু ত্য়ওচা লে
Thanks for your help,আপনার সাহায্যের জন্য ধন্যবাদ,কোউরে কিজু কোগো কিজুতাংবারে
Thank you for coming,আসার জন্য আপনাকে ধন্যবাদ,লেটিঃ কিজু কোগো কিজুতাংবারে
How are you?,তোমার কী অবস্থা,নাং ম্জংহীরে লে
How is everyone at your house?,তোমার বাসার সবাই কেমন আছে,নাং রো ইংসারো ম্জং হিরিলে 
It's nice to see you,তোমাকে দেখে ভাল লাগলো,নাক্ কো ম্রাং ব প্যহারে
I don't like it,আমি এটা পছন্দ করি না,ইচা ঙা মা্সায়া
I have no idea,আমার কোন ধারণা নাই,ঙা ত্খোবাং মি্সি
Thank you very much,তোমাকে অনেক ধন্যবাদ,নাক্ কো আ্মা কিজুটাং রে
See you next week,পরের সপ্তাহে দেখা হবে,লেমি খালেয় মা আ্তুই ক্যামে
See you next year,সামনের বছর দেখা হবে,লেমে ন্হক্ মা আ্তুই ক্যামে
See you soon,শীঘ্রই আবার দেখা হবে,আয়ং প্রেংব আতুই ক্যামে
See you tomorrow,আগামীকাল দেখা হবে,ন্হাক্ ফ্রেং আতুই ক্যামে
I'm crazy about you,আমি তোমার সম্পর্কে পাগল,ঙা নাাক্ মা রুউ রে
I'm crazy with you.,আমি তোমার সাথে পাগল,ঙা নাক্ লা ব রুউরে
It's nice to meet you,তোমার সাথে দেখা করে ভালো লাগলো,নাং লা আতুই খেংব কংহারে
It's so cheap,এটা খুব সস্তা,ইচা এর্মা আঁটেং
Just a moment,শুধু একটা মুহূর্ত,ত্ছংস্যে ব্যা/ ত্খ্যাঃসে
You're so nice,আপনি খুব চমৎকার,কো আমা আ্স্যাক্যারে
You're so smart,আপনি খুব স্মার্ট,কো আ্মা পইংঞাস্যাং 
I really miss you,আমি তোমাকে সত্যি মিস করছি,ঙা নাক্ কো অ্কংকং অউমিংরে
Will you help me?,আপনি কি আমাকে সাহায্য করবেন?,কো ঙাগো ত্খ্যাক্ কু ন্হেং হো ল?
Will you stay home?,তুমি কি বাড়িতে থাকবে,নাং ইংমা নিং হো ল?
Do you need anything?,তোমার কোন কিছু দরকার?,নাক্ মা ত্খুক্ ম্সা লু হো ল?
Do you need this book?,তোমার কি এই বইটা দরকার?,নাক্ মা ই চাক্উঃ লু হো ল?
Are you feeling better?,আপনি ভাল অনুভব করছেন?,কো মা কং রে তুইরে ল?
Come and see me now,এসো এবং এখন আমাকে দেখতে,ঙা গো আ্গু ক্রিজং ল্লে
Come with your family,আপনার পরিবারের সাথে আসুন,কো ইংসা লা ল্লে
I'm very busy this week,আমি এই সপ্তাহে খুব ব্যস্ত,ঙামা ই খাঃলে মা আ্মা আ্লু হীরে
Have a lot of money,অনেক টাকা আছে,এর্মা টেঙা হীরে
They're good people,তারা ভালো মানুষ,য়াস্রু আ্মা আঁকং লু
We need some money,আমাদের কিছু টাকা দরকার,ঙ্গমা টেঙা তে্কে লুরে
What are you doing today?,তুমি আজ কি করছ?,নাং গি্নি আ্চ্যা প্যাংরেলে 
What can I do for you?,আমি আপনার জন্য কি করতে পারি?,ঙা কো কিজু আ্চা প্যাংন্হেং হুলে
What was the word for?,শব্দটা কিসের ছিল?,য়াচা আ্চা আ্সেং লে?
When can we eat?,আমরা কখন খেতে পারি?,ঙো জা্খা চা হুলে
When do you study?,আপনি কখন পড়াশোনা করেন?,কো জ্খা চা ফেটে লে
When did it end?,এটা কখন শেষ হয়েছিল?,ইচা জা্খা টুংলি রে লে
Tell me something about your family,আপনার পরিবার সম্পর্কে কিছু বলেন,কো রো ইংসা গো ইউব  তখুমসা প্র
Do you understand?,তুমি কি বুঝতে পেরেছো?,নালেরি ল নাং?
Do you love me?,তুমি কি আমাকে ভালোবাসো?,নাং ঙা গো ক্রতে ল?
Don't talk about work,কাজের কথা বলবেন না,অ্লু চ্গাগো ম্প্রগ্যে
How can I help you?,আপনাকে কিভাবে সাহায্য করতে পারি?,কোগো ম্জং প্য়াংব কোওন্হেং হোলে?
How deep is the lake?,লেকের গভীরতা কত?,য়াক্ ওয়েই ম্নহ আ্নাক্ লে?
I'm proud of my son,আমি আমার ছেলের জন্য গর্বিত,ঙা ঙা সা কিজু ম্যান্হা ঠংব নিং রে
I'm sorry to bother you,আমি আপনাকে বিরক্ত করার জন্য দুঃখিত,ঙা কোগো জালেরে কিজু খোওং হ্রুওয়ে
Can I open the door?,আমি কি দরজা খুলতে পারি?,ঙা তৈংখা ল্হন্হেং হ ল?
Thank you for everything,সবকিছুর জন্য ধন্যবাদ,আ্কুংজুং কিজু কিজুতাংরে
Do you have any ideas about this?,আপনার কোন ধারণা আছে এই ব্যাপারে?,কো য়াছাগো য়ুব ত্খুমসা সিক্ড়ি ল
Where are you from?,তুমি কোথা থেকে আসছো,নাং আ্চগা লেটে লে?
Let me think about it,আমাকে এটা সম্পর্কে চিন্তা করতে দিন,ঙাগো ইচাগো য়ুব ছাংখ্রাহো পি
Will you stop talking?,তুমি কি কথা বলা বন্ধ করবে?,নাং ইংচা প্রহো তেংহো ল
Do you want to go?,আপনি কি যেতে চান?,কো লা খ্যাংরে ল?
Will you teach me?,তুমি কি আমাকে শেখাবে?,নাং ঙা গো সাং হো ল?
Close the door,দরজা বন্ধ করুন,তৈংখা ত্খ্যাক পুঁই ল মে
It was a very big room,এটি একটি খুব বড় রুম ছিল,য়াচা এর্মা ত আ্সেং হিলিরে 
He agreed with me,তিনি আমার সাথে একমত,য়াসু ঙালা চ্গা তখৈংব্যা
We started walking,আমরা হাঁটতে শুরু করলাম,ঙো সোওয়ারেব্যা
We can change,আমরা পরিবর্তন করতে পারি,ঙো ল্হি ন্হেং রে
We cook every day,আমরা প্রতিদিন রান্না করি,ঙো নিংদৈং খ্যাক্ তে
Where does it hurt?,এটা কোথায় ব্যাথা করে?,জা আড়া মা নাড়ে লে?
When was he born?,সে কখন জন্মেছিল?,য়াসু জা্খা মুইংরে লে?
I can't see anything,আমি কিছুই দেখতে পাচ্ছি না,ঙা ত্খু্বাং ম্রাং 
I don't agree with you,আমি আপনার সাথে একমত নই,ঙা কো লা চ্গা ত্খৈং ম্হক্
How do you get to school?,তুমি কিভাবে স্কুলে আস?,নাং ম্জং প্যাংব চাক্যং দো লেটে লে? 
"If I had money, I could buy it",আমার কাছে টাকা থাকলে আমি কিনতে পারতাম,ঙা মা টেঙা হিগ্যি ঙা লিসউ ওউইন্হেং লি হো
"If he comes, tell him to wait","যদি তিনি আসেন, তাকে অপেক্ষা করতে বলুন",য়াসু লেহো ছুগ্যে য়াসু গো চং ছু ল
"If it rains, we will get wet","যদি বৃষ্টি হয়, আমরা ভিজে যাব","মু রু্ওয়ারে ছুগ্যে, ঙো মু চু্ওয়েকেহো ব্যা"
My hair has grown very long,আমার চুল অনেক লম্বা হয়েছে,ঙা মা ছেংবাং এর্মা হ্রীব্যা
My mother is always at home,আমার মা সবসময় বাড়িতে থাকে,ঙো দদ/অ্ম্মি/অ্দঃ খ্যাংখাফ্র ইংমা নিংড়ে
There are many fish in this lake,এই হ্রদে অনেক মাছ আছে,ই ওয়েইং মা এর্মা ঙাঃ হিরিরে
There are many problems to solve,সমাধান করার জন্য অনেক সমস্যা আছে,আওকং প্যাংহো কিজু এর্মা সমস্যা হীরে
There is nothing wrong with him,তার সাথে কোন ভুল নেই,য়াসুলা ব ত্খুবাং আম্হা মিহি
There was a sudden change in the weather,আবহাওয়ার হঠাৎ পরিবর্তন ছিল,মো লি প্পপাং পয়াংব হ্লিরি
No one was in the garden,বাগানে কেউ ছিল না,য়ইং মা ত্যক্পাং মিহিলিই
There was no one there,সেখানে কেউ ছিল না,য়াদে ত্যক্পাং মিহিলি
There have been five murders this month,এই মাসে পাঁচটি খুনের ঘটনা ঘটেছে,ইলামা ঙাখ্ক এসেএওয়ব্যে ফ্রকেরে
They praise each other,তারা একে অপরের প্রশংসা করে,ইয়াস্রু ত্যক্কো  ত্যক আকং প্রগেতে
They agree to work together,তারা একসঙ্গে কাজ করতে রাজি হয়েছে,ইয়াসরু ত্লামা অ্যালুলুকেহু মনে গেড়ে
They are both good teachers,তারা দুজনেই ভালো শিক্ষক,ইয়াস্রু নহইয়ক চুং অকং চাখ্যা ছ্ড়া
We want something new,আমরা নতুন কিছু চাই,ঙো অস টখুমসা লুরে
We should be very careful,আমাদের খুব সতর্ক হওয়া উচিত,ঙো আমা স্দি ফ্রোরাহু
When can we meet next time?,পরের বার কখন দেখা করতে পারি?,নৌকা যখা আটুই খেং নহেং হোলে?
When will you finish your work?,আপনি কখন কাজ শেষ করেছেন?,কোমা জ্খা আলু তুংরে লে?
When will you cut your wheat?,তুমি কখন তোমার গম কাটবে?,নং জ্যখা গং রুইহুলে?
Where is the beautiful girl?,সুন্দরী মেয়েটি কোথায়?,আহ্লামা জামালেই?
Where is my lungi?,আমার লুঙ্গি কোথায়?,ঙা্ক লঙ্গি জামালে?
What is your destination?,আপনার গন্তব্য কি?,কো আদো লারে লে?
You don't understand me,তুমি আমাকে বোঝো না,নং ঙাগো ম্নালে
How can I help you?,আমি কীভাবে তোমাকে সাহায্য করতে পারি?,ঙা নাকো মজং প্যাংবো কুনহেং হোলে?
I don't understand,আমি বুঝতে পারছি না।,ঙা ম্নালে
Please give me the bill,দয়া করে বিল দিন।,বিল ট্খ্যা পিন্হেং হুলো?
How much will it cost?,এটা কত খরচ হবে?,ইচা ম্নহ খ্র ফ্রহুলে?
Excuse my mistake,আমার ভুল মাফ করবেন।,ঙা ম্হারে খোয়ং হ্রুওয়ে
Have a nice day!,একটি ভালো দিন কাটুক!,ত্রা্ক আহ্লাপা নিং বে চি
It was nice to meet you,তোমার সাথে দেখা হয়ে ভালো লাগলো।,না্ক লে আতুই ক্যাব কং হারে 
I am lost,আমি হারিয়ে গিয়েছি।,ঙা প্তগক ফাব্যা 
I don't speak very well.,আমি খুব ভাল কথা বলি না,ঙা আকোং চ্গা মপ্র
Are we ready to go now?,আমরা কি এখন যেতে প্রস্তুত,ঙো আগো লা ন্হেং হো ব্যালঃ
Do you want to come?,তুমি কি আসতে চাও?,নাং লেখ্যাংরে ল?
Have you finished work?,তুমি কি কাজ শেষ করেছ?,নাং মা অলু টুংগব্যায়াং?
Is the job still available?,চাকরি কি এখনও পাওয়া যায়?,সাগ্রী আগু লে সৌ রারে ল?
Can I ask you a question?,আমি কি তোমাকে একটা প্রশ্ন করতে পারি?,ঙা নাগকো টখও মিং ন্হেং হো ল?
My father is in his room.,আমার বাবা তার রুমে আছেন,ঙো অফা/ আফা/ বাবা নেংমা হিরে
Please speak more slowly.,অনুগ্রহ করে আরো ধীরে কথা বলুন,এসেই চ্গা প্র
Please go to school.,অনুগ্রহ করে স্কুলে যান,চা ক্যাং দু লালি
Please give me your hand.,দয়া করে আমাকে আপনার হাত দিন,কো আলাউগ তখ্যাগ পি
The house is very small.,বাড়িটা খুব ছোট,ইং এরমা অফওয়াশে
They are both in the room.,তারা দুজনেই রুমে আছে,ইয়াশ্রু ন্হয়চঙং ত মা হিরে
Where do you have pain?,তোমার কোথায় ব্যথা আছে?,নাগ মা আডে নারেলে
Can you read this book?,আপনি এই বই পড়তে পারেন,কো ই চা্উ ফেন্হেং মি
You are a good teacher.,তুমি একজন ভালো শিক্ষক,নাং তউ আকং ছ্রাসি
Whose decision was final?,কার সিদ্ধান্ত চূড়ান্ত ছিল?,আসু চ্গালা?
Thanks for the information.,তথ্যের জন্য ধন্যবাদ,স্ডাং কিজু কিজুটাংরে
Thanks for the compliment.,প্রশংসার জন্য ধন্যবাদ,ম্হ্রচা কিজু কিজুটাংরে
Will you come tomorrow?,তুমি কি আগামীকাল আসবে?,নাং ন্হাফ্রেং লেহো য়াং
Will you dance with me?,তুমি কি আমার সাথে নাচবে?,নাং ঙালা কাহোল?
Why are you so tired today?,তুমি আজ এত ক্লান্ত কেন?,নাং গ্নি আচাস্যা ন্গ্যবলে?
Why were you late this morning?,তুমি আজ সকালে দেরি করলে কেন?,নাং গ্নি খরুইকা ক্রাব আস্যা লেটেলে?
Why didn't you come in?,তুমি ভিতরে আসো না কেন?,নাং আথিদো আস্যা ম্ওয়ংলে?
Why did you leave?,তুমি কেন ছেড়ে দিলে,নাং আস্যা ফ্রুল টিলে?
Why were you so angry?,তুমি এত রেগে গেলে কেন?,নাং আস্যা মেং তাউরে লে?
Why are you late?,তোমার দেরী হল কেন?,নাং আস্যা ক্রাফালে?
Why are you drying your hair?,তুমি চুল শুকাচ্ছ কেন?,নাং ছেংবাং আস্যা ল্হেংরে লে?
Which team will win the game?,খেলা কোন দল জিতবে?,খ্যলা আসু অংহো?
Which is your favorite team?,আপনার প্রিয় দল কোনটি?,নাগ সায়াচা আসু ব্রা্গলে?
Which is the shortest route?,সবচেয়ে কাছের পথ কোনটি?,আপা লেং যাচা লে?
Which is more expensive?,কোনটি বেশি ব্যয়বহুল?,যাচা আম্যা খা্গটেলে
Where do you want to go?,আপনি কোথায় যেতে চান?,কো আদো লাখ্যাং রে লে?
Did he come by bus or train?,সে কি বাসে এসেছে নাকি ট্রেনে?,ইয়াউসু বাস মা ল ট্রন মা ল?
Did he tell you what to do?,সে কি তোমাকে বলেছে কি করতে হবে?,ই্য়াগসু প্ররিল না্গকো আচা প্যাংরা হোলে
Did you do it yourself?,আপনি কি নিজের থেকে এটা করেছেন?,কো ইচা কোমাকো প্যাং চা য়াং?
Did you do your homework?,আপনি কি আপনার বাড়ির কাজ করেছেন?,কো কোরো ইং আলু লুটেয়াং
Did you understand me?,তুমি কি আমার কথা বুঝতে পেরেছ?,নাং ঙা চাগা নালেরেল?
Did you like the movie?,তুমি কি সিনেমাটি পছন্দ করেছ?,নাং য়া বওয়ে আহ্লা ম্রাং ল টি ল?
Do you live here?,তুমি কি এখানে থাকো?,নাং ইংদেমা নিংরে য়াং?
Did you make it yourself?,তুমি কি এটা নিজে বানিয়েছ?,নাং ইচা কোমাকো লোচা য়াং 
Can you feel me?,তুমি কি আমাকে অনুভব করছো?,নাং ঙাগো তুইরে য়াং?
Did you see anyone there?,আপনি সেখানে কাউকে দেখেছেন?,কো য়াদেমা তয়্গম্সুগো ম্রাংতে ল?
Did you talk at all?,আপনি কি আদৌ কথা বলেছেন,কো চ্গা ম্প্র সি য়াং?
Did you take a shower?,তুমি কি গোসল করেছ?,নাং রি খ্যুব্যা য়াং?
Have a good time.,একটি ভাল সময় আছে,ট্খু্ক আকং আখ্যিং হিরে
Have a nice day.,আপনার দিনটি শুভ হোক,কো রা্ক আকং ফ্রলি
Have a nice time.,একটি সুন্দর সময় আছে,ট্খু্ক আহ্লা আখ্যিং হিরে
Have a nice trip.,আপনার যাত্রা শুভ হোক,কো রা্ক আকং ফ্রলি 
Have fun this summer!,এই গ্রীষ্মে মজা করুন!,ই পুখ্যিংমা প্য হো।
Have you ever seen a whale?,আপনি কি কখনও একটি তিমি দেখেছেন?,কো তিমি ম্রাং ব্যা ল?
Have you finished dressing?,তুমি কি ড্রেসিং শেষ করেছ?,নাং অওয়ে ওয়েব্যল
His advice didn't help.,তার পরামর্শ সাহায্য করেনি,য়াসু প্রচা আলু ম্লুলি
His brother is patient.,তার ভাই ধৈর্যশীল,য়াসু আকোসি আ্মা সিখেং ন্হেং রে
His dream came true.,তার স্বপ্ন সত্যি হয়েছে,য়াসু ইংমাউ আকং ফ্ররে
His family is very big.,তার পরিবার অনেক বড়,য়াস্রো ইংসা এরমা আগ্রি
His father looks healthy.,তার বাবা সুস্থ দেখাচ্ছে,য়াসু আ্ফা ররেখে ম্রাং রে
His horse jumped over the fence.,তার ঘোড়া বেড়ার উপর লাফিয়ে উঠল,য়াসু ম্রাং য়াসু ছুই আথাউমা খুংব তাউরে
His house is very tall.,তার বাড়ি অনেক লম্বা,য়াসু ইং এরমা আহ্রি
His joy is evident on his face.,তার আনন্দ তার মুখে ফুটে উঠেছে,য়াসু প্যচা য়াসু ম্যাকন্হামা ম্রাংরা রে ব্যা।
His mother was strict.,তার মা কঠোর ছিল,য়াসু অ্মি কক্রউমন্হেং
His opinion was not accepted.,তার মতামত গ্রহণ করা হয়নি,য়াসু চ্গা ম্নাথংলি
His proposal was accepted in the meeting.,সভায় তার প্রস্তাব গৃহীত হয়,মিটিং মা য়াসু চ্গা ফ্ররে
His room is twice as big as mine.,তার রুম আমার চেয়ে দ্বিগুণ বড়,য়াসু ত ঙাচা থা ন্হপ্রেং সেংরে
His shoes are red.,তার জুতা লাল,য়াসু ফ্নেং র্রে
His wife is Indian.,তার স্ত্রী ভারতীয়,য়াসু ম্যা খংড সংসা
His wife is one of my friends.,তার স্ত্রী আমার বন্ধুদের একজন,য়াসু ম্যা ঙা আফা্কসা
His voice was soft.,তার কণ্ঠ নরম ছিল,য়াসু আসেং ঙন্যে
His face was still young.,তার মুখ তখনও তরুণ,য়াসু ম্যাঙন্হা য়্খালে আ্ম
His eyes were on me.,তার দৃষ্টি আমার দিকে ছিল,য়াসু ঙাগো ক্রিরি আমা
His smile was funny.,তার হাসি হাস্যকর ছিল,য়াসু হা্কচা আ্মা রিখ্যং ফুওয়ে
His smile was very beautiful.,তার হাসি খুব সুন্দর ছিল,য়াসু রিচা আ্মা আহ্লা
His voice was calm.,তার কণ্ঠ শান্ত ছিল,য়াসু আসেং ঙন্যে হিলিরে
I am a vegetarian.,আমি একজন নিরামিষভোজী,ঙা হাংম্রু মাচা
I am angry with him.,আমি তার সাথে রাগান্বিত,ঙা য়াসু গো মেং তাউতে
I am always busy.,আমি সব সময় ব্যস্ত থাকি,ঙা খ্যাংখাফ্র অ্লুমা নিংরে 
I am busy right now.,আমি এই মুহূর্তে ব্যস্ত,ঙা অ্গো অ্লুমা
I am busy with my homework.,আমি আমার বাড়ির কাজ নিয়ে ব্যস্ত,ঙা ইংমা আলুমা অ্গো 
I am counting on you.,আমি তোমার উপর নির্ভর করছি,ঙা না্গকোরা সিরিব্যা
I am happy to see you.,তোমাকে দেখে খুসি হলাম,না্ককো ক্রিব ঙা আ্মা হাউরে
I am hungry.,আমি ক্ষুধার্ত,ঙা মইপঃ
I am looking for a job.,আমি একটি চাকরি খুঁজছি,ঙা ত্খূ অ্লূ হ্রারে
I am looking for a room.,আমি একটি রুম খুঁজছি,ঙা ত ত্দ হ্রারে
I am not a doctor.,আমি একজন ডাক্তার নই,ঙা ডা্কত ম্হক
I am ready to start.,আমি শুরু করতে প্রস্তুত,ঙা চা ন্হেং রেব্যা
