English,Bangla,Marma,label
No one was in the garden,বাগানে কেউ ছিল না,য়ইং মা,neg
Did you take a shower?,তুমি কি গোসল করেছ?,নাং রি খ্যুব্যা য়াং?,ntr
Have a nice trip.,আপনার যাত্রা শুভ হোক,কো রা্ক ফ্রলি,pos
Do you understand?,তুমি কি বুঝতে পেরেছো?,নাং? ল নালেরি,ntr
Are you going?,তুমি কি যাচ্ছ?,লারেয় নাং ব্যা ল,ntr
His wife is one of my friends.,তার স্ত্রী আমার বন্ধুদের একজন,য়াসু ঙা আফা্কসা,pos
Will you stay home?,তুমি কি বাড়িতে থাকবে,নাং ল? নিং হো ইংমা,ntr
His advice didn't help.,তার পরামর্শ সাহায্য করেনি,য়াসু প্রচা আলু ম্লুলি,neg
I have no idea,আমার কোন ধারণা নাই,ঙা ত্খোবাং,neg
Get well soon.,শীঘ্রই সুস্থ হয়ে উঠুন,আয়াং আকং কেন্থা ফ্রপ থা,pos
His face was still young.,তার মুখ তখনও তরুণ,য়াসু য়্খালে ম্যাঙন্হা আ্ম,ntr
There have been five murders this month,এই মাসে পাঁচটি খুনের ঘটনা ঘটেছে,ইলামা ঙাখ্ক ফ্রকেরে,neg
Thank you for everything,সবকিছুর জন্য ধন্যবাদ,কিজুতাংরে কিজু আ্কুংজুং,pos
Let me think about it,আমাকে এটা সম্পর্কে চিন্তা করতে দিন,ঙাগো য়ুব ইচাগো ছাংখ্রাহো পি,ntr
Did you like the movie?,তুমি কি সিনেমাটি পছন্দ করেছ?,নাং য়া বওয়ে আহ্লা ম্রাং ল টি ল?,pos
I am very sorry.,আমি খুবই দুঃখিত,খোয়ং গা ঙা হ্রুওয়ে,neg
Why were you late this morning?,তুমি আজ সকালে দেরি করলে কেন?,নাং গ্নি খরুইকা ক্রাব আস্যা,ntr
My father is tall.,আমার বাবা লম্বা,ঙো আ্হ্রিঠং,ntr
I can't hear you.,আমি তোমাকে শুনতে পাচ্ছি না,নাাং ঙা প্রচাগো ম্ক্রা,ntr
Just a moment,শুধু একটা মুহূর্ত,ত্খ্যাঃসে ব্যা/ ত্ছংস্যে,ntr
You can go,তুমি যেতে পার,নাং ন্হেং লা মি ব্যা,ntr
Please go to school.,অনুগ্রহ করে স্কুলে যান,চা ক্যাং লালি,pos
Did you like the movie?,তুমি কি সিনেমাটি পছন্দ করেছ?,নাং য়া বওয়ে আহ্লা ম্রাং টি ল?,pos
That's my book.,যে আমার বই,চা ঙা য়াচা ঊঃ,ntr
My mother is always at home,আমার মা সবসময় বাড়িতে থাকে,ইংমা দদ/অ্ম্মি/অ্দঃ খ্যাংখাফ্র ঙো নিংড়ে,ntr
"If it rains, we will get wet","যদি বৃষ্টি হয়, আমরা ভিজে যাব","মু রু্ওয়ারে ছুগ্যে, ঙো মু ব্যা",ntr
It's nice to see you,তোমাকে দেখে ভাল লাগলো,নাক্ কো ম্রাং প্যহারে,pos
I'm not bothering you,আমি তোমাকে বিরক্ত করছি না,ঙা নাক্ কো,pos
Can you read this book?,আপনি এই বই পড়তে পারেন,মি ই চা্উ ফেন্হেং কো,ntr
You should sleep,তোমার তো ঘুমানো উচিত,রে গা ওউই রাহো টেং নাং ব্যা,ntr
I love you.,আমি তোমায় ভালোবাসি,ঙা কো নাক্,pos
Are you crazy?,তুমি কি পাগল?,নাং ল,neg
His shoes are red.,তার জুতা লাল,য়াসু র্রে ফ্নেং,ntr
We need some money,আমাদের কিছু টাকা দরকার,ঙ্গমা তে্কে টেঙা লুরে,ntr
Why were you so angry?,তুমি এত রেগে গেলে কেন?,নাং আস্যা তাউরে মেং লে?,neg
When will you cut your wheat?,তুমি কখন তোমার গম কাটবে?,নং রুইহুলে? জ্যখা গং,neg
Can I help you?,আমি কি তোমাকে সাহায্য করতে পারি?,ঙা নাঃকো কুহু নুইং,pos
Did you do it yourself?,আপনি কি নিজের থেকে এটা করেছেন?,কোমাকো ইচা কো প্যাং চা য়াং?,ntr
His wife is one of my friends.,তার স্ত্রী আমার বন্ধুদের একজন,ম্যা য়াসু ঙা আফা্কসা,pos
There have been five murders this month,এই মাসে পাঁচটি খুনের ঘটনা ঘটেছে,ইলামা ঙাখ্ক এসেএওয়ব্যে,neg
I'm not bothering you,আমি তোমাকে বিরক্ত করছি না,ম্জালে কো নাক্,pos
Will you love me?,তুমি কি আমাকে ভালোবাসবে?,নাং ঙা গো ল? হো ক্র,pos
Where is the beautiful girl?,সুন্দরী মেয়েটি কোথায়?,আহ্লামা জামালেই?,pos
This story is true,এই গল্প সত্য,ওয়েঠু আ্কং ইচা,pos
She was alone.,তিনি একা ছিলেন,নুং য়াঃসু খ্যাং হিঃরেলেয়,neg
This is my book,এটা আমার বই,ঊঃ ঙা চা ইচা,ntr
His advice didn't help.,তার পরামর্শ সাহায্য করেনি,য়াসু প্রচা ম্লুলি,neg
I can't come.,আমি আসতে পারব না,ঙা ম্লেন্হেং/ ঙা লেহো ম্নংই,ntr
I am lost,আমি হারিয়ে গিয়েছি।,ঙা ফাব্যা,neg
Will you help me?,আপনি কি আমাকে সাহায্য করবেন?,কো ঙাগো ত্খ্যাক্ কু হো ন্হেং ল?,pos
There was no one there,সেখানে কেউ ছিল না,য়াদে মিহিলি,neg
I am angry with him.,আমি তার সাথে রাগান্বিত,য়াসু তাউতে গো মেং ঙা,neg
Did you like the movie?,তুমি কি সিনেমাটি পছন্দ করেছ?,নাং য়া বওয়ে আহ্লা ম্রাং টি ল ল?,pos
Whose decision was final?,কার সিদ্ধান্ত চূড়ান্ত ছিল?,আসু চ্গালা?,ntr
Can I eat this?,আমি কি এটা খেতে পারি?,হোলঃ? ইচা চা ন্হেং ঙা,ntr
Are you serious?,তুমি কি সিরিয়াস?,নাং আম্হেং ল?,neg
I really miss you,আমি তোমাকে সত্যি মিস করছি,কো অ্কংকং অউমিংরে,neg
I trust you.,আমি তোমাকে বিশ্বাস করি,ঙা না্ক ক্যুং কো রে,pos
I trust you.,আমি তোমাকে বিশ্বাস করি,ঙা না্ক ক্যুং রে,pos
Will you go for a walk?,তুমি কি বেড়াতে যাবে?,নাং লিজং লাহো ল,ntr
I am fine.,আমি ভালো আছি,হিরি আকং ঙা,pos
That is very bad.,ওটা খুব খারাপ,য়াচা ম্কং,neg
It was so noisy.,এটা তাই কোলাহলপূর্ণ ছিল,ইচা কিজু হি্লিরে,neg
His wife is one of my friends.,তার স্ত্রী আমার বন্ধুদের একজন,ঙা ম্যা য়াসু আফা্কসা,pos
This is my book,এটা আমার বই,ইচা ঙা ঊঃ,ntr
It was really cheap.,এটা সত্যিই সস্তা ছিল,ইচা এ্তেং হিলিরে,ntr
Will you stop talking?,তুমি কি কথা বলা বন্ধ করবে?,প্রহো ইংচা নাং তেংহো ল,neg
Do you want to come?,তুমি কি আসতে চাও?,ল? লেখ্যাংরে নাং,pos
It was so noisy.,এটা তাই কোলাহলপূর্ণ ছিল,ইচা য়জং ক্যক্যছাব হি্লিরে,neg
This is not a joke,এটি তামাশা না,ম্হক্ স্যইংচা,neg
Let me think about it,আমাকে এটা সম্পর্কে চিন্তা করতে দিন,ঙাগো ইচাগো য়ুব ছাংখ্রাহো পি,ntr
See you soon,শীঘ্রই আবার দেখা হবে,আয়ং আতুই প্রেংব ক্যামে,ntr
What was the word for?,শব্দটা কিসের ছিল?,আ্চা আ্সেং লে?,ntr
His eyes were on me.,তার দৃষ্টি আমার দিকে ছিল,য়াসু ক্রিরি ঙাগো আমা,ntr
They stopped talking,তাদের কথা বলা বন্ধ,য়াসু চ্গা,neg
You're so nice,আপনি খুব চমৎকার,আমা আ্স্যাক্যারে,pos
I am taller than you.,আমি আপনার চাইতে লম্বা,ঙা হ্রিরে,ntr
This is not a joke,এটি তামাশা না,ইচা ম্হক্ স্যইংচা,neg
You should sleep,তোমার তো ঘুমানো উচিত,নাং গা ওউই রাহো টেং রে ব্যা,ntr
I love you.,আমি তোমায় ভালোবাসি,ঙা কো ক্রতে,pos
Will you love me?,তুমি কি আমাকে ভালোবাসবে?,নাং ঙা গো ল? ক্র,pos
I am angry with him.,আমি তার সাথে রাগান্বিত,ঙা মেং তাউতে,neg
How can I help you?,আমি কীভাবে তোমাকে সাহায্য করতে পারি?,ঙা নাকো প্যাংবো কুনহেং হোলে?,pos
Thank you for coming,আসার জন্য আপনাকে ধন্যবাদ,লেটিঃ কোগো কিজু কিজুতাংবারে,pos
I am always busy.,আমি সব সময় ব্যস্ত থাকি,ঙা অ্লুমা খ্যাংখাফ্র নিংরে,ntr
I don't like it,আমি এটা পছন্দ করি না,ইচা ঙা,neg
Please give me your hand.,দয়া করে আমাকে আপনার হাত দিন,তখ্যাগ পি,pos
When will you cut your wheat?,তুমি কখন তোমার গম কাটবে?,গং জ্যখা রুইহুলে? নং,neg
Did you like the movie?,তুমি কি সিনেমাটি পছন্দ করেছ?,নাং য়া বওয়ে আহ্লা ল টি ল?,pos
His dream came true.,তার স্বপ্ন সত্যি হয়েছে,য়াসু ইংমাউ আকং,pos
Which is your favorite team?,আপনার প্রিয় দল কোনটি?,আসু সায়াচা নাগ ব্রা্গলে?,pos
When do you study?,আপনি কখন পড়াশোনা করেন?,কো জ্খা ফেটে চা লে,ntr
There is nothing wrong with him,তার সাথে কোন ভুল নেই,ব ত্খুবাং আম্হা মিহি,pos
I am looking for a job.,আমি একটি চাকরি খুঁজছি,ঙা অ্লূ ত্খূ হ্রারে,ntr
I miss you.,আমার আপনাকে মনে পরছে,ঙা কোগো তোওড়ারেয়,neg
Excuse my mistake,আমার ভুল মাফ করবেন।,ঙা ম্হারে খোয়ং,neg
His voice was calm.,তার কণ্ঠ শান্ত ছিল,য়াসু ঙন্যে হিলিরে,pos
I don't like it,আমি এটা পছন্দ করি না,ঙা মা্সায়া,neg
Why were you late this morning?,তুমি আজ সকালে দেরি করলে কেন?,গ্নি খরুইকা ক্রাব আস্যা লেটেলে?,ntr
When can we meet next time?,পরের বার কখন দেখা করতে পারি?,নৌকা যখা আটুই খেং নহেং,ntr
Will it rain today?,আজ কি বৃষ্টি হবে?,মোঃ ওয়রাহলঃ,ntr
There are many problems to solve,সমাধান করার জন্য অনেক সমস্যা আছে,কিজু প্যাংহো আওকং সমস্যা হীরে,neg
She was brave.,তিনি সাহসী ছিল,ম্লেং ম্ক্র য়াসু হিঃরেলেয়,pos
Close the door,দরজা বন্ধ করুন,তৈংখা পুঁই ত্খ্যাক ল মে,ntr
I hate you.,আমি আপনাকে ঘৃণা করি,কোগো মুংরে ঙা,neg
He avoided me.,সে আমাকে এড়িয়ে চলে,য়াসুু ঙাগো ম্রাং প্যাংব লারে,neg
How is everyone at your house?,তোমার বাসার সবাই কেমন আছে,নাং রো ইংসারো ম্জং হিরিলে ,ntr
How much will it cost?,এটা কত খরচ হবে?,ফ্রহুলে? ম্নহ খ্র ইচা,ntr
Thanks for the information.,তথ্যের জন্য ধন্যবাদ,স্ডাং কিজুটাংরে কিজু,pos
I don't agree with you,আমি আপনার সাথে একমত নই,ম্হক্ লা চ্গা ত্খৈং কো,neg
When will you cut your wheat?,তুমি কখন তোমার গম কাটবে?,নং জ্যখা রুইহুলে? গং,neg
Which is more expensive?,কোনটি বেশি ব্যয়বহুল?,আম্যা খা্গটেলে,ntr
I miss you.,আমার আপনাকে মনে পরছে,তোওড়ারেয় কোগো ঙা,neg
She is a teacher.,সে একজন শিক্ষিকা,য়াসুু মা ছ্রামা/চাখ্যাসা ত্যঃ,ntr
Excuse my mistake,আমার ভুল মাফ করবেন।,ঙা হ্রুওয়ে,neg
I'm crazy with you.,আমি তোমার সাথে পাগল,নাক্ লা ব রুউরে,neg
What can I say?,আমি কি বলতে পারি?,প্র ন্হেং হোলঃ?,ntr
I miss you.,আমার আপনাকে মনে পরছে,কোগো তোওড়ারেয়,neg
Where do you have pain?,তোমার কোথায় ব্যথা আছে?,মা নাগ আডে নারেলে,neg
I hate you.,আমি আপনাকে ঘৃণা করি,ঙা মুংরে,neg
How do you get to school?,তুমি কিভাবে স্কুলে আস?,নাং প্যাংব চাক্যং দো লেটে লে?,ntr
How is your life going?,আপনার জীবন কেমন চলছে?,কো মা আঃসা ম্জং লে?,ntr
His opinion was not accepted.,তার মতামত গ্রহণ করা হয়নি,ম্নাথংলি চ্গা,neg
I really miss you,আমি তোমাকে সত্যি মিস করছি,নাক্ কো ঙা অ্কংকং অউমিংরে,neg
Have a nice day.,আপনার দিনটি শুভ হোক,আকং রা্ক ফ্রলি কো,pos
His proposal was accepted in the meeting.,সভায় তার প্রস্তাব গৃহীত হয়,মিটিং চ্গা য়াসু মা ফ্ররে,pos
My wife is a doctor.,আমার স্ত্রী একজন ডাক্তার,ছিক্রিসামা/ডাওঃতমা ম্যা ঙা,ntr
Which team will win the game?,খেলা কোন দল জিতবে?,আসু অংহো?,pos
They agree to work together,তারা একসঙ্গে কাজ করতে রাজি হয়েছে,ইয়াসরু ত্লামা অ্যালুলুকেহু মনে গেড়ে,pos
Don't be angry.,রাগ করো না,মেং ম্তাঃক্যে,pos
His advice didn't help.,তার পরামর্শ সাহায্য করেনি,আলু য়াসু ম্লুলি,neg
Are you serious?,তুমি কি সিরিয়াস?,আম্হেং নাং ল?,neg
There are many problems to solve,সমাধান করার জন্য অনেক সমস্যা আছে,আওকং প্যাংহো কিজু এর্মা সমস্যা হীরে,neg
Do you smoke?,তুমি কি ধুমপান কর,ছুঁইলি নাং সউতে ল?,ntr
Did you make it yourself?,তুমি কি এটা নিজে বানিয়েছ?,কোমাকো ইচা নাং লোচা য়াং,ntr
I love you.,আমি তোমায় ভালোবাসি,নাক্ কো ক্রতে,pos
His joy is evident on his face.,তার আনন্দ তার মুখে ফুটে উঠেছে,য়াসু প্যচা য়াসু ম্রাংরা রে ব্যা।,pos
I am angry with him.,আমি তার সাথে রাগান্বিত,ঙা য়াসু তাউতে মেং গো,neg
Can I help you?,আমি কি সাহায্য করতে পারি?,ঙা নুইং কুহু হোলঃ?,pos
Thank you very much,তোমাকে অনেক ধন্যবাদ,কো আ্মা কিজুটাং রে,pos
Which is the shortest route?,সবচেয়ে কাছের পথ কোনটি?,আপা লেং যাচা,ntr
I am not a teacher.,আমি একজন শিক্ষক নই,ঙা চা খ্যাসা ম্হ,ntr
They stopped talking,তাদের কথা বলা বন্ধ,মা য়াসু চ্গা,neg
This river is beautiful,এই নদী সুন্দর,ই খ্যং হ্লারে,pos
She didn't speak.,তিনি কথা বলেননি,য়াসু ম্প্রলি চাগা,ntr
You are a good teacher.,তুমি একজন ভালো শিক্ষক,নাং তউ আকং ছ্রাসি,pos
Can I help you?,আমি কি তোমাকে সাহায্য করতে পারি?,ঙা নাঃকো কুহু হোলঃ? নুইং,pos
Have a nice day!,একটি ভালো দিন কাটুক!,ত্রা্ক আহ্লাপা নিং বে,pos
Where do you have pain?,তোমার কোথায় ব্যথা আছে?,নাগ মা আডে নারেলে,neg
What was the word for?,শব্দটা কিসের ছিল?,য়াচা আ্চা আ্সেং,ntr
Why are you so tired today?,তুমি আজ এত ক্লান্ত কেন?,নাং গ্নি ন্গ্যবলে?,neg
Are you feeling better?,আপনি ভাল অনুভব করছেন?,কো কং মা রে তুইরে ল?,pos
Thanks for the information.,তথ্যের জন্য ধন্যবাদ,স্ডাং কিজুটাংরে কিজু,pos
Are you serious?,তুমি কি সিরিয়াস?,নাং আম্হেং,neg
I am sorry.,আমি দুঃখিত,ঙা খোয়ং হ্রুওয়ে,neg
His joy is evident on his face.,তার আনন্দ তার মুখে ফুটে উঠেছে,য়াসু প্যচা য়াসু ব্যা। ম্রাংরা রে ম্যাকন্হামা,pos
They're good people,তারা ভালো মানুষ,য়াস্রু লু আ্মা আঁকং,pos
"No, I will eat later.","না, আমি পরে খাব","ঙা ইন্হি, নঃউকা",neg
Do you smoke?,তুমি কি ধুমপান কর,নাং সউতে ছুঁইলি ল?,ntr
His wife is Indian.,তার স্ত্রী ভারতীয়,য়াসু ম্যা সংসা খংড,ntr
I'm proud of my son,আমি আমার ছেলের জন্য গর্বিত,ঙা সা কিজু ম্যান্হা ঠংব নিং রে,pos
It's a good decision.,এটা একটা ভাল সিদ্ধান্ত,ইচা ত্খোঃ আ্ত্যগ্,pos
I don't understand,আমি বুঝতে পারছি না।,ঙা ম্নালে,ntr
It's nice to see you,তোমাকে দেখে ভাল লাগলো,ব কো ম্রাং নাক্ প্যহারে,pos
See you next week,পরের সপ্তাহে দেখা হবে,লেমি মা আ্তুই ক্যামে,ntr
Please come in.,অনুগ্রহ করে ভিতরে আসুন,আঠিদো ওয়ংলেমে,pos
I am trying to sleep.,আমি ঘুমানোর চেষ্টা করছি,ঙা ওইম্কেংরে,ntr
See you next year,সামনের বছর দেখা হবে,লেমে ন্হক্ মা আ্তুই,ntr
His mother was strict.,তার মা কঠোর ছিল,য়াসু কক্রউমন্হেং,ntr
This is my friend,এই আমার বন্ধু,আফাসা ঙা ইচা,pos
No one was in the garden,বাগানে কেউ ছিল না,মা ত্যক্পাং য়ইং মিহিলিই,neg
Will you stop talking?,তুমি কি কথা বলা বন্ধ করবে?,ল ইংচা প্রহো তেংহো নাং,neg
Do you need anything?,তোমার কোন কিছু দরকার?,নাক্ মা ত্খুক্ ম্সা লু ল?,ntr
He praised him.,সে তাকে তারিফ করেছিল,য়াসু প্রবঃয়ে অ্কং ঠুসুগো,pos
Why are you so tired today?,তুমি আজ এত ক্লান্ত কেন?,নাং আচাস্যা গ্নি ন্গ্যবলে?,neg
This is my brother,এই আমার ভাই,ঙা আকোসে/ন্ঙ্যিং,ntr
Don't be sad.,দু: খিত হবেন না,অউ ম্স্যুক্যে,pos
Why did you leave?,তুমি কেন ছেড়ে দিলে,নাং আস্যা টিলে? ফ্রুল,neg
That's my book.,যে আমার বই,য়াচা ঙা চা ঊঃ,ntr
They agree to work together,তারা একসঙ্গে কাজ করতে রাজি হয়েছে,ইয়াসরু ত্লামা গেড়ে মনে অ্যালুলুকেহু,pos
Are you crazy?,তুমি কি পাগল?,আরোউ ল,neg
Do you live here?,তুমি কি এখানে থাকো?,ইংদেমা নাং নিংরে য়াং?,ntr
I am lost,আমি হারিয়ে গিয়েছি।,প্তগক ফাব্যা,neg
It was so noisy.,এটা তাই কোলাহলপূর্ণ ছিল,ইচা য়জং কিজু ক্যক্যছাব,neg
When will you cut your wheat?,তুমি কখন তোমার গম কাটবে?,নং রুইহুলে? গং,neg
His smile was very beautiful.,তার হাসি খুব সুন্দর ছিল,য়াসু রিচা আ্মা,pos
I really miss you,আমি তোমাকে সত্যি মিস করছি,অ্কংকং নাক্ কো ঙা,neg
Have fun this summer!,এই গ্রীষ্মে মজা করুন!,ই পুখ্যিংমা প্য,pos
Which is more expensive?,কোনটি বেশি ব্যয়বহুল?,যাচা আম্যা,ntr
This is not a joke,এটি তামাশা না,ম্হক্ স্যইংচা,neg
There is nothing wrong with him,তার সাথে কোন ভুল নেই,য়াসুলা ত্খুবাং ব আম্হা মিহি,pos
His smile was very beautiful.,তার হাসি খুব সুন্দর ছিল,রিচা আহ্লা আ্মা,pos
My wife is a doctor.,আমার স্ত্রী একজন ডাক্তার,ঙা ছিক্রিসামা/ডাওঃতমা ম্যা,ntr
Where does it hurt?,এটা কোথায় ব্যাথা করে?,আড়া মা লে?,neg
His proposal was accepted in the meeting.,সভায় তার প্রস্তাব গৃহীত হয়,মিটিং মা য়াসু চ্গা ফ্ররে,pos
"If I had money, I could buy it",আমার কাছে টাকা থাকলে আমি কিনতে পারতাম,ঙা মা টেঙা ঙা লিসউ ওউইন্হেং লি হো,ntr
Thank you for coming,আসার জন্য আপনাকে ধন্যবাদ,লেটিঃ কিজু কোগো কিজুতাংবারে,pos
See you soon,শীঘ্রই আবার দেখা হবে,ক্যামে প্রেংব আতুই আয়ং,ntr
I'm sorry to bother you,আমি আপনাকে বিরক্ত করার জন্য দুঃখিত,কোগো জালেরে কিজু খোওং,neg
I am counting on you.,আমি তোমার উপর নির্ভর করছি,না্গকোরা সিরিব্যা,ntr
I am very happy.,আমি অত্যন্ত খুশি,ঙা আমা রেয় প্য়,pos
This river is beautiful,এই নদী সুন্দর,খ্যং ই হ্লারে,pos
She was brave.,তিনি সাহসী ছিল,ম্ক্র ম্লেং হিঃরেলেয়,pos
That is very bad.,ওটা খুব খারাপ,ম্কং তিফিবাং য়াচা,neg
Do you have any ideas about this?,আপনার কোন ধারণা আছে এই ব্যাপারে?,ল য়াছাগো য়ুব ত্খুমসা সিক্ড়ি কো,ntr
Will it rain today?,আজ কি বৃষ্টি হবে?,গ্নি মোঃ,ntr
They're good people,তারা ভালো মানুষ,য়াস্রু আ্মা লু আঁকং,pos
See you next week,পরের সপ্তাহে দেখা হবে,লেমি মা আ্তুই ক্যামে,ntr
She is a teacher.,সে একজন শিক্ষিকা,মা ত্যঃ ছ্রামা/চাখ্যাসা য়াসুু,ntr
What was the word for?,শব্দটা কিসের ছিল?,য়াচা আ্চা লে? আ্সেং,ntr
Don't worry.,কোন চিন্তা করো না,নাং ওউই,pos
It's a good decision.,এটা একটা ভাল সিদ্ধান্ত,ইচা আ্কং ত্খোঃ আ্ত্যগ্,pos
I am a vegetarian.,আমি একজন নিরামিষভোজী,হাংম্রু ঙা মাচা,ntr
Are we ready to go now?,আমরা কি এখন যেতে প্রস্তুত,ঙো আগো ন্হেং হো ব্যালঃ,pos
I am a student.,আমি একজন ছাত্র,ঙা ত্য চা ফেসা,ntr
